epoch,accuracy,loss,val_accuracy,val_loss
0,0.7846666574478149,0.5679805278778076,0.8774999976158142,0.27424344420433044
1,0.8859999775886536,0.31307220458984375,0.8387500047683716,0.41150230169296265
2,0.9083333611488342,0.2531334161758423,0.831250011920929,0.5679531097412109
3,0.9226666688919067,0.22492222487926483,0.8450000286102295,0.4913729131221771
4,0.9419999718666077,0.17849503457546234,0.8687499761581421,0.5443630218505859
5,0.9386666417121887,0.1763586699962616,0.8575000166893005,0.5986942648887634
6,0.9520000219345093,0.14145219326019287,0.8887500166893005,0.447654128074646
7,0.9596666693687439,0.12399355322122574,0.8849999904632568,0.5055695176124573
8,0.9646666646003723,0.1008787453174591,0.8999999761581421,0.5078543424606323
9,0.9710000157356262,0.08491433411836624,0.8799999952316284,0.6961727142333984
